"Vuosi"	"Elävänä syntyneet"
"1751"	18850
"1752"	19395
"1753"	19472
"1754"	20786
"1755"	21273
"1756"	21097
"1757"	20203
"1758"	20037
"1759"	21356
"1760"	22718
"1761"	22751
"1762"	20894
"1763"	21921
"1764"	23540
"1765"	22365
"1766"	21952
"1767"	21787
"1768"	23266
"1769"	23304
"1770"	22803
"1771"	21472
"1772"	21550
"1773"	22094
"1774"	23942
"1775"	24463
"1776"	23924
"1777"	24832
"1778"	26816
"1779"	27759
"1780"	27095
"1781"	25091
"1782"	27926
"1783"	26890
"1784"	28842
"1785"	27039
"1786"	27326
"1787"	28116
"1788"	25439
"1789"	24153
"1790"	26107
"1791"	25426
"1792"	30201
"1793"	32076
"1794"	30893
"1795"	32082
"1796"	30887
"1797"	32632
"1798"	31172
"1799"	31684
"1800"	31139
"1801"	33297
"1802"	33650
"1803"	30871
"1804"	34216
"1805"	34200
"1806"	32191
"1807"	32787
"1808"	27110
"1809"	24917
"1810"	34831
"1811"	31542
"1812"	41236
"1813"	38175
"1814"	39703
"1815"	40898
"1816"	42863
"1817"	43863
"1818"	43918
"1819"	41747
"1820"	42789
"1821"	49165
"1822"	42898
"1823"	49168
"1824"	46726
"1825"	48120
"1826"	47675
"1827"	47142
"1828"	51261
"1829"	51202
"1830"	48964
"1831"	48531
"1832"	47696
"1833"	41492
"1834"	50238
"1835"	47525
"1836"	43290
"1837"	44080
"1838"	44652
"1839"	47804
"1840"	49794
"1841"	49440
"1842"	54806
"1843"	53597
"1844"	53124
"1845"	54884
"1846"	51604
"1847"	53211
"1848"	58021
"1849"	60320
"1850"	58269
"1851"	62955
"1852"	58069
"1853"	58398
"1854"	62949
"1855"	60370
"1856"	61319
"1857"	55610
"1858"	62070
"1859"	61454
"1860"	63183
"1861"	66534
"1862"	66328
"1863"	64983
"1864"	71307
"1865"	62780
"1866"	58853
"1867"	59164
"1868"	43757
"1869"	58395
"1870"	63748
"1871"	66567
"1872"	66189
"1873"	68422
"1874"	70898
"1875"	69521
"1876"	70759
"1877"	74831
"1878"	70275
"1879"	76150
"1880"	74784
"1881"	72436
"1882"	76053
"1883"	76378
"1884"	78147
"1885"	75129
"1886"	78576
"1887"	81724
"1888"	80172
"1889"	77881
"1890"	77860
"1891"	82128
"1892"	76433
"1893"	73030
"1894"	76206
"1895"	81783
"1896"	81656
"1897"	82330
"1898"	89106
"1899"	88358
"1900"	86339
"1901"	88637
"1902"	87082
"1903"	85120
"1904"	90253
"1905"	87841
"1906"	91401
"1907"	92457
"1908"	92146
"1909"	95005
"1910"	92984
"1911"	91238
"1912"	92275
"1913"	87250
"1914"	87577
"1915"	83306
"1916"	79653
"1917"	81046
"1918"	79494
"1919"	63896
"1920"	84714
"1921"	82165
"1922"	80140
"1923"	81961
"1924"	78057
"1925"	78260
"1926"	76875
"1927"	75611
"1928"	77523
"1929"	76011
"1930"	75236
"1931"	71866
"1932"	69352
"1933"	65047
"1934"	67713
"1935"	69942
"1936"	68895
"1937"	72319
"1938"	76695
"1939"	78164
"1940"	65849
"1941"	89565
"1942"	61672
"1943"	76112
"1944"	79446
"1945"	95758
"1946"	106075
"1947"	108168
"1948"	107759
"1949"	103515
"1950"	98065
"1951"	93063
"1952"	94314
"1953"	90866
"1954"	89845
"1955"	89740
"1956"	88896
"1957"	86985
"1958"	81148
"1959"	83253
"1960"	82129
"1961"	81996
"1962"	81454
"1963"	82251
"1964"	80428
"1965"	77885
"1966"	77697
"1967"	77289
"1968"	73654
"1969"	67450
"1970"	64559
"1971"	61067
"1972"	58864
"1973"	56787
"1974"	62472
"1975"	65719
"1976"	66846
"1977"	65659
"1978"	63983
"1979"	63428
"1980"	63064
"1981"	63469
"1982"	66106
"1983"	66892
"1984"	65076
"1985"	62796
"1986"	60632
"1987"	59827
"1988"	63316
"1989"	63348
"1990"	65549
"1991"	65395
"1992"	66731
"1993"	64826
"1994"	65231
"1995"	63067
"1996"	60723
"1997"	59329
"1998"	57108
"1999"	57574
"2000"	56742
"2001"	56189
"2002"	55555
"2003"	56630
"2004"	57758
"2005"	57745
"2006"	58840
"2007"	58729
"2008"	59530
"2009"	60430
"2010"	60980
"2011"	59961
"2012"	59493
"2013"	58134
"2014"	57232
"2015"	55472
"2016"	52814
"2017"	50321
"2018"	47577
"2019"	45613
"2020"	46463
